user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,school
用户44173,2020/6/15 21:15,2020/6/16 9:46,0,0,535.57,
用户44172,2020/6/15 20:04,2020/6/15 20:04,0,0,132.5,
用户44171,2020/6/15 19:06,2020/6/15 19:07,1,0,0,
用户44170,2020/6/15 18:52,2020/6/15 18:53,0,0,104.12,
用户44169,2020/6/15 17:05,2020/6/15 17:05,0,0,9.23,
用户44164,2020/6/15 16:45,2020/6/16 16:42,1,0,61.35,广东轻工职业技术学院
用户44165,2020/6/15 16:45,2020/6/16 12:28,1,0,53.67,广东轻工职业技术学院
用户44166,2020/6/15 16:45,2020/6/17 21:47,1,0,234.07,广东轻工职业技术学院
用户44167,2020/6/15 16:45,2020/6/15 20:06,1,0,354.97,广东轻工职业技术学院
用户44168,2020/6/15 16:45,2020/6/16 23:34,1,0,170.65,广东轻工职业技术学院
用户44163,2020/6/15 16:45,2020/6/17 14:52,2,1,475.3,广东轻工职业技术学院
用户44162,2020/6/15 16:06,2020/6/15 16:13,0,0,0,
用户44161,2020/6/15 15:52,2020/6/15 15:52,0,0,0,
用户44160,2020/6/15 15:49,2020/6/15 15:49,0,0,4.62,
用户44159,2020/6/15 15:47,2020/6/18 9:30,1,0,"11,222.57",
用户44158,2020/6/15 15:43,2020/6/17 16:30,0,0,396.55,
用户44157,2020/6/15 15:25,2020/6/15 15:25,0,0,0.38,
用户44156,2020/6/15 15:01,2020/6/17 8:50,0,0,"1,175.67",
用户44155,2020/6/15 14:59,2020/6/17 14:05,1,0,"1,115.88",
用户44154,2020/6/15 14:19,2020/6/15 14:22,0,0,2.32,
用户44151,2020/6/15 14:14,--,1,0,"1,816.72",
用户44153,2020/6/15 14:14,2020/6/18 9:27,2,0,"5,448.85",
用户44150,2020/6/15 13:53,2020/6/17 14:44,1,0,"14,057.97",
用户44145,2020/6/15 13:53,2020/6/16 19:30,1,0,"1,058.83",
用户44146,2020/6/15 13:53,2020/6/17 17:58,1,0,"13,806.07",
用户44148,2020/6/15 13:53,--,1,0,"1,130.40",
用户44144,2020/6/15 13:46,2020/6/15 14:02,1,0,655.63,
用户44143,2020/6/15 13:02,2020/6/15 13:02,0,0,28.05,
用户44142,2020/6/15 12:14,2020/6/16 8:56,0,0,563.57,
用户44141,2020/6/15 10:49,2020/6/15 10:49,0,0,0,
用户44140,2020/6/15 10:25,2020/6/17 9:41,0,0,755.63,
用户44139,2020/6/15 10:20,2020/6/15 10:21,0,0,0,
用户44138,2020/6/15 9:48,2020/6/15 9:49,0,0,0.13,
用户44137,2020/6/15 9:44,2020/6/17 10:43,0,0,996.92,
用户44136,2020/6/15 9:43,2020/6/15 10:05,0,0,27.73,
用户44135,2020/6/15 9:34,2020/6/15 9:35,0,0,0.98,
用户44134,2020/6/15 2:37,2020/6/15 2:56,0,0,13.82,
用户44133,2020/6/14 22:52,2020/6/14 22:52,0,0,0,
用户44132,2020/6/14 21:28,2020/6/14 21:30,0,0,165.92,
用户44131,2020/6/14 19:48,2020/6/14 19:48,0,0,0.93,
用户44130,2020/6/14 18:40,2020/6/14 18:41,0,0,11.53,
用户44129,2020/6/14 16:58,2020/6/14 16:58,0,0,114.4,
用户44128,2020/6/14 16:28,2020/6/14 16:29,0,0,0,
用户44127,2020/6/14 15:46,2020/6/14 15:47,0,0,0.4,
用户44126,2020/6/14 15:35,2020/6/14 15:36,0,0,26.05,
用户44125,2020/6/14 14:50,2020/6/14 14:50,0,0,294.57,
用户44124,2020/6/14 13:22,2020/6/14 13:23,0,0,1.02,
用户44123,2020/6/14 13:10,2020/6/14 13:11,0,0,0,
用户44122,2020/6/14 12:26,2020/6/14 12:26,0,0,0,
用户44121,2020/6/14 11:03,2020/6/14 11:04,0,0,6.95,
用户44120,2020/6/14 10:46,2020/6/14 10:47,0,0,0,
用户44119,2020/6/14 10:40,2020/6/14 10:40,0,0,60.02,
用户44118,2020/6/13 23:47,2020/6/14 17:48,0,0,221.95,
用户44117,2020/6/13 22:43,2020/6/13 23:14,0,0,293.72,
用户44116,2020/6/13 22:41,2020/6/13 22:41,0,0,16,
用户44115,2020/6/13 22:00,2020/6/13 22:00,0,0,5.97,
用户44114,2020/6/13 21:58,2020/6/15 15:49,0,0,0.58,
用户44113,2020/6/13 18:15,2020/6/13 18:16,0,0,0,
用户44112,2020/6/13 15:49,2020/6/13 15:49,0,0,0,
用户44111,2020/6/13 15:42,2020/6/13 15:42,0,0,41.35,
用户44110,2020/6/13 15:41,2020/6/13 15:41,0,0,1.52,
用户44109,2020/6/13 14:41,2020/6/15 8:06,1,0,0,
用户44108,2020/6/13 14:09,2020/6/13 14:09,0,0,0,
用户44107,2020/6/12 21:32,2020/6/12 21:34,0,0,2.03,
用户44106,2020/6/12 21:14,2020/6/12 21:15,0,0,68.05,
用户44105,2020/6/12 19:57,2020/6/12 19:58,0,0,328.1,
用户44104,2020/6/12 18:09,2020/6/12 18:12,0,0,1.02,
用户44103,2020/6/12 18:05,2020/6/12 19:35,1,2,0,
用户44102,2020/6/12 17:50,2020/6/17 19:29,1,0,"1,891.47",
用户44100,2020/6/12 17:50,2020/6/17 18:27,1,0,"3,939.35",
用户44101,2020/6/12 17:50,2020/6/17 22:41,1,0,"1,445.17",
用户44097,2020/6/12 17:46,2020/6/18 8:28,1,0,796.45,
用户44098,2020/6/12 17:46,2020/6/14 14:51,1,0,308.42,
用户44099,2020/6/12 17:46,2020/6/16 12:38,1,0,"1,240.47",
用户44091,2020/6/12 17:46,2020/6/18 7:54,1,0,"2,720.82",
用户44092,2020/6/12 17:46,2020/6/16 12:41,1,0,784.1,
用户44093,2020/6/12 17:46,2020/6/17 15:47,1,0,576.3,
用户44094,2020/6/12 17:46,2020/6/17 19:00,1,0,"4,073.45",
用户44095,2020/6/12 17:46,--,1,0,0,
用户44096,2020/6/12 17:46,2020/6/17 16:51,1,0,"1,554.57",
用户44090,2020/6/12 17:46,--,1,0,69.88,
用户44089,2020/6/12 17:33,2020/6/17 20:04,1,0,89.67,
用户44088,2020/6/12 17:19,2020/6/16 21:58,1,0,"3,673.65",
用户44085,2020/6/12 17:17,2020/6/17 13:16,1,0,"1,267.32",
用户44086,2020/6/12 17:17,2020/6/18 8:12,1,0,"2,727.23",
用户44087,2020/6/12 17:17,2020/6/15 19:56,1,0,954.83,
用户44084,2020/6/12 17:14,--,1,0,0,
用户44080,2020/6/12 17:08,2020/6/17 15:15,1,0,"1,790.33",
用户44081,2020/6/12 17:08,2020/6/18 0:28,1,0,"2,085.62",
用户44082,2020/6/12 17:08,2020/6/18 0:31,1,0,"7,422.65",
用户44074,2020/6/12 17:08,2020/6/18 9:44,1,0,"1,441.37",
用户44075,2020/6/12 17:08,2020/6/17 20:43,1,0,"1,595.20",
用户44076,2020/6/12 17:08,2020/6/17 20:37,1,0,"1,724.23",
用户44077,2020/6/12 17:08,2020/6/17 21:03,1,0,"1,752.57",
用户44078,2020/6/12 17:08,2020/6/17 20:34,1,0,"4,713.00",
用户44079,2020/6/12 17:08,2020/6/17 21:38,1,0,"7,361.30",
用户44069,2020/6/12 17:08,2020/6/17 15:54,1,0,"3,477.95",
用户44070,2020/6/12 17:08,2020/6/17 18:33,1,0,"2,702.38",
用户44071,2020/6/12 17:08,2020/6/17 20:35,1,0,"1,638.90",
用户44072,2020/6/12 17:08,2020/6/17 22:36,1,0,"1,059.35",
用户44073,2020/6/12 17:08,2020/6/17 21:32,1,0,"1,504.25",
用户44064,2020/6/12 17:08,2020/6/16 19:13,1,0,"4,316.90",
用户44065,2020/6/12 17:08,2020/6/17 22:19,1,0,"1,434.98",
用户44066,2020/6/12 17:08,2020/6/17 20:14,1,0,"2,004.48",
用户44067,2020/6/12 17:08,2020/6/15 22:56,1,0,"2,836.32",
用户44068,2020/6/12 17:08,2020/6/18 9:54,1,0,"1,858.72",
用户44058,2020/6/12 17:08,2020/6/17 13:28,1,0,719.3,
用户44059,2020/6/12 17:08,2020/6/15 9:50,1,0,227.55,
用户44060,2020/6/12 17:08,2020/6/15 18:02,1,0,764.58,
用户44061,2020/6/12 17:08,2020/6/15 21:19,1,0,"2,360.92",
用户44062,2020/6/12 17:08,2020/6/17 19:35,1,0,"1,605.82",
用户44053,2020/6/12 17:08,2020/6/18 9:39,1,0,"2,483.22",
用户44054,2020/6/12 17:08,2020/6/17 14:19,1,0,"2,350.80",
用户44056,2020/6/12 17:08,2020/6/17 20:06,1,0,"2,828.92",
用户44057,2020/6/12 17:08,2020/6/17 14:56,1,0,125.93,
用户44047,2020/6/12 17:08,2020/6/17 11:46,1,0,"1,528.70",
用户44048,2020/6/12 17:08,2020/6/18 8:28,1,0,"1,757.83",
用户44049,2020/6/12 17:08,2020/6/17 14:08,1,0,778.62,
用户44050,2020/6/12 17:08,2020/6/17 12:19,1,0,"1,368.03",
用户44051,2020/6/12 17:08,2020/6/18 9:39,1,0,979.77,
用户44052,2020/6/12 17:08,2020/6/17 21:10,1,0,"1,163.30",
用户44041,2020/6/12 17:08,2020/6/17 16:30,1,0,"1,629.08",
用户44042,2020/6/12 17:08,2020/6/18 9:47,1,0,"2,026.72",
用户44043,2020/6/12 17:08,2020/6/18 0:22,1,0,"4,024.45",
用户44044,2020/6/12 17:08,2020/6/15 10:23,1,0,74.27,
用户44046,2020/6/12 17:08,2020/6/17 15:54,1,0,"1,628.33",
用户44035,2020/6/12 17:08,2020/6/17 9:38,1,0,"3,342.97",
用户44036,2020/6/12 17:08,2020/6/17 19:50,1,0,"1,545.05",
用户44037,2020/6/12 17:08,2020/6/18 9:47,1,0,"1,820.02",
用户44038,2020/6/12 17:08,2020/6/17 22:13,1,0,"1,106.88",
用户44039,2020/6/12 17:08,2020/6/18 9:40,1,0,"2,175.27",
用户44040,2020/6/12 17:08,2020/6/17 22:16,1,0,"2,431.00",
用户44032,2020/6/12 17:08,2020/6/18 8:57,1,0,"2,300.47",
用户44033,2020/6/12 17:08,2020/6/18 9:03,1,0,"2,269.90",
用户44034,2020/6/12 17:08,2020/6/17 17:02,1,0,856.82,
用户44029,2020/6/12 17:08,2020/6/15 19:07,1,0,0,
用户44030,2020/6/12 17:08,2020/6/18 9:33,1,0,"2,861.77",
用户44031,2020/6/12 17:08,2020/6/17 14:34,2,1,"1,780.28",
用户44028,2020/6/12 16:18,2020/6/12 16:19,0,0,0,
用户44027,2020/6/12 16:00,--,0,0,58.35,湖南大众传媒职业技术学院
用户44026,2020/6/12 15:40,2020/6/12 15:41,0,0,80.88,
用户44025,2020/6/12 15:33,2020/6/18 9:44,0,0,"3,061.68",
用户44023,2020/6/12 15:10,2020/6/15 9:43,2,0,"12,280.75",
用户44022,2020/6/12 14:26,2020/6/12 14:26,0,0,2.7,
用户44021,2020/6/12 12:59,2020/6/12 13:01,0,0,50.85,
用户44020,2020/6/12 12:24,2020/6/14 9:47,0,0,70.87,
用户44019,2020/6/12 11:26,2020/6/12 11:26,0,0,0,
用户44018,2020/6/12 11:03,--,1,0,0,
用户44017,2020/6/12 10:49,2020/6/17 6:31,0,0,629.6,
用户44016,2020/6/12 10:48,2020/6/12 10:48,0,0,0,
用户44015,2020/6/12 9:54,2020/6/12 11:10,0,0,30.22,
用户44014,2020/6/12 9:06,2020/6/12 9:06,0,0,2.23,
用户44013,2020/6/12 8:19,2020/6/18 9:23,0,0,42.07,
用户44012,2020/6/12 1:55,2020/6/15 22:34,0,0,873.58,
用户44011,2020/6/11 21:36,2020/6/11 21:36,0,0,2.1,
用户44010,2020/6/11 21:12,2020/6/17 8:48,0,0,"2,182.33",
用户44009,2020/6/11 19:44,2020/6/11 19:45,0,0,0.33,
用户44008,2020/6/11 19:40,2020/6/11 19:41,0,0,21.7,
用户44007,2020/6/11 18:57,2020/6/12 11:44,0,0,39.5,
用户44006,2020/6/11 18:56,2020/6/11 18:56,0,0,0,
用户43972,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43973,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43967,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43968,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43969,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43970,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43971,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43966,2020/6/11 18:20,--,1,0,0,桂林电子科技大学
用户43962,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43963,2020/6/11 18:20,--,1,0,0,广西职业技术学院
用户43964,2020/6/11 18:20,--,1,0,0,广西职业技术学院
用户43965,2020/6/11 18:20,--,1,0,0,广西职业技术学院
用户43958,2020/6/11 18:20,--,1,0,0,广西水利电力职业技术学院
用户43959,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43960,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43961,2020/6/11 18:20,--,1,0,0,广西医科大学
用户43957,2020/6/11 18:20,--,1,0,0,广西水利电力职业技术学院
用户43951,2020/6/11 18:20,--,1,0,0,广西师范大学
用户43952,2020/6/11 18:20,--,1,0,0,广西师范学院
用户43953,2020/6/11 18:20,--,2,0,0,广西师范学院
用户43954,2020/6/11 18:20,--,1,0,0,广西师范学院
用户43955,2020/6/11 18:20,--,1,0,0,广西师范学院
用户43956,2020/6/11 18:20,--,1,0,0,广西师院
用户43950,2020/6/11 18:20,--,1,0,0,广西师大
用户43945,2020/6/11 18:20,--,1,0,0,广西农业职业技术学院
用户43946,2020/6/11 18:20,--,1,0,0,广西农业职业技术学院
用户43947,2020/6/11 18:20,--,1,0,0,广西农业职业技术学院
用户43948,2020/6/11 18:20,--,1,0,0,广西钦州学院
用户43949,2020/6/11 18:20,--,1,0,0,广西师大
用户43942,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43943,2020/6/11 18:20,--,1,0,0,广西民族师范学院
用户43944,2020/6/11 18:20,--,1,0,0,广西民族师范学院
用户43939,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43940,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43941,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43934,2020/6/11 18:20,--,1,0,0,广西理工职业技术学院
用户43935,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43936,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43937,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43938,2020/6/11 18:20,--,1,0,0,广西民族大学
用户43933,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43927,2020/6/11 18:20,--,1,0,0,广西教育学院
用户43928,2020/6/11 18:20,--,1,0,0,广西教育学院
用户43929,2020/6/11 18:20,--,1,0,0,广西经济管理干部学院
用户43930,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43931,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43932,2020/6/11 18:20,--,1,0,0,广西科技大学
用户43926,2020/6/11 18:20,--,1,0,0,广西教育学院
用户43921,2020/6/11 18:20,--,1,0,0,广西机电职业技术学院
用户43922,2020/6/11 18:20,--,1,0,0,广西建设职业技术学院
用户43923,2020/6/11 18:20,--,1,0,0,广西交通职业技术学院
用户43924,2020/6/11 18:20,--,1,0,0,广西交通职业技术学院
用户43925,2020/6/11 18:20,--,1,0,0,广西交通职业技术学院
用户43918,2020/6/11 18:20,--,1,0,0,广西工学院
用户43919,2020/6/11 18:20,--,1,0,0,广西工学院
用户43920,2020/6/11 18:20,--,1,0,0,广西工业职业技术学院
用户43916,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43917,2020/6/11 18:20,--,1,0,0,广西工学院
用户43910,2020/6/11 18:20,--,1,0,0,黄山学院
用户43911,2020/6/11 18:20,--,1,0,0,广西大学
用户43912,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43913,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43914,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43915,2020/6/11 18:20,--,1,0,0,广西电力职业技术学院
用户43904,2020/6/11 18:20,--,1,0,0,巢湖学院
用户43905,2020/6/11 18:20,--,1,0,0,巢湖学院
用户43906,2020/6/11 18:20,--,1,0,0,淮北师范大学
用户43907,2020/6/11 18:20,--,1,0,0,淮北师范大学
用户43908,2020/6/11 18:20,--,1,0,0,淮南师范学院
用户43909,2020/6/11 18:20,--,1,0,0,黄山学院
用户43902,2020/6/11 18:20,--,1,0,0,巢湖学院
用户43903,2020/6/11 18:20,--,1,0,0,巢湖学院
用户43900,2020/6/11 18:20,--,1,0,0,安徽医科大学
用户43901,2020/6/11 18:20,--,1,0,0,巢湖学院
用户43894,2020/6/11 18:20,--,1,0,0,安徽机电职业技术学院
用户43895,2020/6/11 18:20,--,1,0,0,安徽机电职业技术学院
用户43896,2020/6/11 18:20,--,1,0,0,安徽建筑大学数理学院
用户43897,2020/6/11 18:20,--,1,0,0,安徽建筑大学数理学院
用户43898,2020/6/11 18:20,--,1,0,0,安徽医科大学
用户43899,2020/6/11 18:20,--,1,0,0,安徽医科大学
用户43889,2020/6/11 18:20,--,1,0,0,安徽工程大学
用户43890,2020/6/11 18:20,--,1,0,0,安徽工商职业学院
用户43891,2020/6/11 18:20,--,1,0,0,安徽工商职业学院
用户43892,2020/6/11 18:20,--,1,0,0,安徽机电职业技术学院
用户43893,2020/6/11 18:20,--,1,0,0,安徽机电职业技术学院
用户43886,2020/6/11 18:20,--,1,0,0,安徽大学
用户43887,2020/6/11 18:20,--,1,0,0,安徽大学
用户43888,2020/6/11 18:20,--,1,0,0,安徽工程大学
用户43884,2020/6/11 18:06,--,1,0,0,中国人民解放军空军勤务学院
用户43885,2020/6/11 18:06,--,1,0,0,中南大学
用户43879,2020/6/11 18:06,--,1,0,0,长沙商贸旅游职业技术学院
用户43880,2020/6/11 18:06,--,1,0,0,长沙商贸旅游职业技术学院
用户43881,2020/6/11 18:06,--,1,0,0,中国地质大学
用户43882,2020/6/11 18:06,--,1,0,0,中国地质大学（武汉）
用户43883,2020/6/11 18:06,--,1,0,0,中国地质大学（武汉）
用户43873,2020/6/11 18:06,--,1,0,0,长江大学
用户43874,2020/6/11 18:06,--,1,0,0,长江职业学院
用户43875,2020/6/11 18:06,--,1,0,0,长沙航空职业技术学院
用户43876,2020/6/11 18:06,--,1,0,0,长沙航空职业技术学院
用户43877,2020/6/11 18:06,--,1,0,0,长沙民政学院
用户43878,2020/6/11 18:06,--,1,0,0,长沙商贸旅游职业技术学院
用户43871,2020/6/11 18:06,--,1,0,0,湘潭大学
用户43872,2020/6/11 18:06,--,1,0,0,郧阳师范高等专科
用户43868,2020/6/11 18:06,--,1,0,0,武汉软件工程职业学院
用户43869,2020/6/11 18:06,--,1,0,0,武汉软件工程职业学院
用户43870,2020/6/11 18:06,--,1,0,0,湘潭大学
用户43863,2020/6/11 18:06,--,1,0,0,武汉大学
用户43864,2020/6/11 18:06,--,1,0,0,武汉纺织大学
用户43865,2020/6/11 18:06,--,1,0,0,武汉工程大学
用户43866,2020/6/11 18:06,--,1,0,0,武汉工程大学
用户43867,2020/6/11 18:06,--,1,0,0,武汉理工大学
用户43856,2020/6/11 18:06,--,1,0,0,湖南人文科技学院
用户43857,2020/6/11 18:06,--,1,0,0,湖南商学院
用户43858,2020/6/11 18:06,--,1,0,0,华中科技大学
用户43859,2020/6/11 18:06,--,1,0,0,怀化学院
用户43860,2020/6/11 18:06,--,1,0,0,武汉大学
用户43861,2020/6/11 18:06,--,1,0,0,武汉大学
用户43862,2020/6/11 18:06,--,1,0,0,武汉大学
用户43855,2020/6/11 18:06,--,1,0,0,湖南人文科技学院
用户43850,2020/6/11 18:06,--,1,0,0,湖南农业大学
用户43851,2020/6/11 18:06,--,1,0,0,湖南农业大学
用户43852,2020/6/11 18:06,--,1,0,0,湖南农业大学理学院
用户43853,2020/6/11 18:06,--,1,0,0,湖南人文科技学院
用户43854,2020/6/11 18:06,--,1,0,0,湖南人文科技学院
用户43847,2020/6/11 18:06,--,1,0,0,湖南科技学院
用户43848,2020/6/11 18:06,--,1,0,0,湖南科技学院
用户43849,2020/6/11 18:06,--,1,0,0,湖南科技学院
用户43846,2020/6/11 18:06,--,1,0,0,湖南科技学院
用户43840,2020/6/11 18:06,--,1,0,0,湖南大学
用户43841,2020/6/11 18:06,--,1,0,0,湖南大学数学
用户43842,2020/6/11 18:06,--,1,0,0,湖南大学数学
用户43843,2020/6/11 18:06,--,1,0,0,湖南工学院
用户43844,2020/6/11 18:06,--,1,0,0,湖南交通职业技术学院
用户43845,2020/6/11 18:06,--,1,0,0,湖南交通职业技术学院
用户43839,2020/6/11 18:06,--,1,0,0,湖南大学
用户43834,2020/6/11 18:06,--,1,0,0,湖北汽车工业学院
用户43835,2020/6/11 18:06,--,1,0,0,湖北师范学院
用户43836,2020/6/11 18:06,--,1,0,0,湖北医药学院
用户43837,2020/6/11 18:06,--,1,0,0,湖北医药学院
用户43838,2020/6/11 18:06,--,1,0,0,湖南大学
用户43831,2020/6/11 18:06,--,1,0,0,湖北工业大学
用户43832,2020/6/11 18:06,--,1,0,0,湖北交通职业技术学院
用户43833,2020/6/11 18:06,--,1,0,0,湖北交通职业技术学院
用户43829,2020/6/11 18:06,--,1,0,0,湖北工业大学
用户43830,2020/6/11 18:06,--,1,0,0,湖北工业大学
用户43823,2020/6/11 18:06,--,1,0,0,北华航天工业学院
用户43824,2020/6/11 18:06,--,1,0,0,国防科技大学
用户43825,2020/6/11 18:06,--,1,0,0,湖北工程学院
用户43826,2020/6/11 18:06,--,1,0,0,湖北工业大学
用户43827,2020/6/11 18:06,--,1,0,0,湖北工业大学
用户43828,2020/6/11 18:06,--,1,0,0,湖北工业大学
用户43816,2020/6/11 18:06,--,1,0,0,装备学院
用户43817,2020/6/11 18:06,--,1,0,0,装备学院
用户43818,2020/6/11 18:06,--,1,0,0,装甲兵工程学院
用户43819,2020/6/11 18:06,--,1,0,0,装甲兵工程学院
用户43820,2020/6/11 18:06,--,1,0,0,装甲兵工程学院
用户43821,2020/6/11 18:06,--,1,0,0,北华航天工业学院
用户43822,2020/6/11 18:06,--,1,0,0,北华航天工业学院
用户43815,2020/6/11 18:06,--,1,0,0,装备学院
用户43812,2020/6/11 18:06,--,1,0,0,中国石油大学（北京）
用户43813,2020/6/11 18:06,--,1,0,0,中国石油大学（北京）
用户43814,2020/6/11 18:06,--,1,0,0,中央司法警官学院
用户43807,2020/6/11 18:05,--,1,0,0,中国民航大学理学院
用户43808,2020/6/11 18:05,--,1,0,0,中国民航大学理学院
用户43809,2020/6/11 18:05,--,1,0,0,中国民航大学理学院
用户43810,2020/6/11 18:05,--,1,0,0,中国人民武装警察部队学院
用户43811,2020/6/11 18:05,--,1,0,0,中国石油大学（北京）
